GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.justorder.backend.model,Dish,17,83,0,0,5,19,5,10,5,10
backend,com.justorder.backend.model,Allergen,24,23,0,0,8,8,6,4,6,4
backend,com.justorder.backend.model,Localization,56,78,0,0,16,21,16,4,16,4
backend,com.justorder.backend.model,CuisineCategory,35,12,0,0,10,6,7,3,7,3
backend,com.justorder.backend.model,OrderStatus,17,12,0,0,4,6,4,3,4,3
backend,com.justorder.backend.model,Customer,68,132,0,0,19,25,19,6,19,6
backend,com.justorder.backend.model,Rider,47,73,0,0,13,18,13,6,13,6
backend,com.justorder.backend.model,Order,17,154,0,0,5,41,5,24,5,24
backend,com.justorder.backend.model,Admin,28,15,0,0,10,5,6,4,6,4
backend,com.justorder.backend.model,Restaurant,48,217,0,0,15,44,15,22,15,22
backend,com.justorder.backend.controller,RiderController,36,119,4,6,12,34,7,8,3,7
backend,com.justorder.backend.controller,AllergenController,5,8,0,0,2,2,0,2,0,2
backend,com.justorder.backend.controller,OrderController,31,36,2,2,9,8,2,3,0,3
backend,com.justorder.backend.controller,DishController,25,67,1,3,10,19,1,5,0,4
backend,com.justorder.backend.controller,RestaurantController,59,148,1,1,22,39,4,10,3,10
backend,com.justorder.backend.controller,CustomerController,46,172,4,4,12,45,8,10,5,9
backend,com.justorder.backend.controller,HelloController,5,7,0,0,2,2,1,2,1,2
backend,com.justorder.backend.controller,SessionController,34,68,3,3,11,16,7,5,4,5
backend,com.justorder.backend.controller,AuthController,39,3,4,0,7,1,3,1,1,1
backend,com.justorder.backend.controller,AdminController,3,3,0,0,1,1,1,1,1,1
backend,com.justorder.backend.service,OrderPinSecurityService,0,17,0,0,0,5,0,3,0,3
backend,com.justorder.backend.service,RestaurantService,23,444,13,43,3,100,14,38,1,23
backend,com.justorder.backend.service,RegisterService,49,428,13,25,7,104,15,21,2,15
backend,com.justorder.backend.service,SessionService,38,301,14,24,9,64,14,14,0,8
backend,com.justorder.backend.service,OrderPinGenerationService,0,22,0,0,0,4,0,3,0,3
backend,com.justorder.backend.service,MenuService,19,188,4,14,5,39,4,16,0,11
backend,com.justorder.backend.service,AllergenService,0,13,0,0,0,5,0,2,0,2
backend,com.justorder.backend.service,RiderService,60,328,8,24,8,77,12,21,5,12
backend,com.justorder.backend.service,OrderService,75,254,15,15,10,59,19,11,4,11
backend,com.justorder.backend.config,DataInitializer,0,802,11,11,0,106,11,2,0,2
backend,com.justorder.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.justorder.backend.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
backend,com.justorder.backend.exception,InvalidDishDataException,0,4,0,0,0,2,0,1,0,1
backend,com.justorder.backend.exception,DishConflictException,5,0,0,0,2,0,1,0,1,0
backend,com.justorder.backend.dto,LoginResponseDTO,6,31,0,0,3,10,1,9,1,9
backend,com.justorder.backend.dto,CuisineCategoryDTO,26,0,0,0,10,0,6,0,6,0
backend,com.justorder.backend.dto,AllergenDTO,11,15,0,0,4,6,3,3,3,3
backend,com.justorder.backend.dto,RiderDashboardDTO,35,51,0,0,18,18,9,9,9,9
backend,com.justorder.backend.dto,LocalizationDTO,35,51,0,0,10,18,9,9,9,9
backend,com.justorder.backend.dto,OrderStatusDTO,16,0,0,0,7,0,4,0,4,0
backend,com.justorder.backend.dto,VerifyOrderPinRequestDTO,0,10,0,0,0,5,0,3,0,3
backend,com.justorder.backend.dto,CheckoutOrderRequestDTO,0,31,0,0,0,14,0,9,0,9
backend,com.justorder.backend.dto,RestaurantProfileUpdateDTO,0,87,0,0,0,38,0,25,0,25
backend,com.justorder.backend.dto,DishDTO,0,73,0,0,0,24,0,16,0,16
backend,com.justorder.backend.dto,RestaurantDTO,51,113,0,0,13,37,13,23,13,23
backend,com.justorder.backend.dto,LoginRequest,0,24,0,0,0,7,0,7,0,7
backend,com.justorder.backend.dto,CustomerDTO,31,66,0,0,9,22,8,14,8,14
backend,com.justorder.backend.dto,OrderDTO,26,68,0,0,7,22,7,15,7,15
backend,com.justorder.backend.dto,RiderDTO,31,55,0,0,9,19,8,10,8,10
backend,com.justorder.backend.dto,RestaurantDashboardDTO,35,51,0,0,18,18,9,9,9,9
backend,com.justorder.backend.dto,AuthResponse,13,0,0,0,5,0,3,0,3,0
backend,com.justorder.backend.dto,RejectionRequestDTO,0,10,0,0,0,5,0,3,0,3
backend,com.justorder.backend.dto,CustomerDashboardDTO,39,57,0,0,20,20,10,10,10,10
backend,com.justorder.backend.security,JwtAuthenticationFilter,112,3,22,0,29,1,13,1,2,1
backend,com.justorder.backend.security,SecurityConfig,0,284,0,0,0,33,0,7,0,7
backend,com.justorder.backend.security,JwtUtil,85,7,4,0,17,2,10,2,8,2
